epoch;accuracy;loss
0;0.49194995;1.9464846065705856
1;0.50599146;1.885823997816718
2;0.50683826;1.8791184939810637
3;0.50720423;1.8758026101104561
4;0.5074102;1.8737171201837848
5;0.50755006;1.872245782786607
6;0.5076851;1.871158444867562
7;0.50774413;1.8702593620855186
8;0.50780046;1.8695468493516398
9;0.5078722;1.8689692345367388
10;0.50792223;1.8684459433240672
11;0.50796276;1.8679939654414084
12;0.5079921;1.867631725140165
13;0.5080508;1.8672758215593779
14;0.5080462;1.8669903936273295
